aX,aY,aZ,gX,gY,gZ
0.922,0.120,0.007,-11.108,-2.319,9.094
0.935,0.016,0.051,-3.479,-1.282,5.859
0.932,-0.064,0.086,1.343,-0.793,6.042
0.919,-0.073,0.092,2.563,1.099,11.169
0.926,-0.022,0.061,1.709,2.380,18.188
0.933,0.030,-0.004,-1.343,1.404,23.743
0.922,0.072,-0.107,-11.169,-2.747,26.794
0.886,0.144,-0.146,-25.146,-12.817,29.053
0.841,0.254,-0.068,-36.804,-28.015,29.907
0.803,0.331,0.085,-44.067,-39.246,27.222
0.762,0.326,0.224,-44.189,-39.978,21.667
0.723,0.280,0.290,-38.757,-31.677,15.869
0.699,0.269,0.278,-30.212,-20.386,11.597
0.683,0.354,0.268,-18.127,-10.681,8.057
0.682,0.490,0.293,-0.305,-2.563,2.136
0.729,0.609,0.278,20.447,9.949,-8.606
0.782,0.611,0.221,38.696,27.527,-24.109
0.819,0.417,0.006,44.983,45.776,-40.527
0.873,0.149,-0.230,41.016,54.443,-50.049
0.893,-0.040,-0.321,29.968,46.204,-49.683
0.880,-0.118,-0.270,14.709,28.931,-43.091
0.839,-0.129,-0.151,0.854,13.367,-33.997
0.780,-0.148,-0.010,-8.850,2.563,-26.672
0.808,-0.067,0.085,-14.526,-3.479,-19.409
0.888,0.074,0.131,-18.616,-6.104,-13.916
0.960,0.334,0.128,-23.682,-3.418,-27.649
0.983,0.500,0.129,-23.132,7.568,-17.395
0.979,0.463,0.000,-15.076,27.039,-31.494
1.010,-0.003,-0.455,9.766,51.941,-54.077
1.014,-0.231,-0.445,10.010,39.612,-53.467
1.016,-0.411,-0.349,4.089,21.057,-47.302
1.009,-0.522,-0.250,-7.812,4.333,-35.645
1.059,-0.464,-0.130,-21.667,-11.475,-20.752
1.091,-0.220,0.013,-35.706,-22.400,-6.104
1.108,0.075,0.085,-42.175,-20.142,2.380
1.117,0.263,0.042,-36.255,-6.714,1.099
1.117,0.264,-0.059,-24.414,8.545,-8.301
1.102,0.141,-0.221,-10.681,23.254,-19.226
1.088,-0.035,-0.319,2.991,28.687,-26.489
1.080,-0.196,-0.298,9.888,22.461,-28.198
1.071,-0.341,-0.215,5.066,10.864,-24.475
1.058,-0.382,-0.149,-8.362,0.000,-15.503
1.036,-0.311,-0.087,-25.391,-8.240,-3.418
1.046,-0.137,-0.043,-37.842,-13.550,7.385
1.084,0.197,-0.022,-32.837,-7.690,10.376
1.079,0.199,-0.049,-19.409,1.282,3.540
1.059,0.110,-0.160,-5.371,12.146,-3.784
1.034,0.082,-0.213,3.235,16.235,-5.676
1.008,0.068,-0.201,4.639,13.123,-5.615
0.982,0.041,-0.173,2.014,7.690,-6.348
0.952,0.063,-0.113,-5.005,2.075,-6.104
0.928,0.040,-0.056,-10.864,-0.671,-7.019
0.955,-0.014,-0.046,-11.536,1.160,-10.254
0.996,-0.074,-0.083,-8.057,3.540,-12.939
1.047,-0.103,-0.123,-5.615,5.188,-12.939
1.069,-0.091,-0.162,-3.723,6.226,-10.193
1.059,-0.020,-0.176,-0.732,6.531,-6.775
1.049,0.042,-0.134,3.235,4.883,-5.432
1.045,0.041,-0.099,7.629,3.906,-7.996
1.056,-0.032,-0.115,8.118,4.578,-11.780
1.057,-0.116,-0.151,1.404,3.479,-13.306
1.056,-0.154,-0.202,-9.949,-0.305,-11.475
2.191,-0.089,0.597,27.893,-12.817,-91.248
2.391,-0.379,0.690,40.039,10.437,-99.243
2.519,-0.722,0.650,38.147,35.767,-90.454
2.533,-0.996,0.496,20.813,52.734,-61.279
2.410,-1.122,0.301,-7.385,51.758,-18.738
2.157,-0.994,0.121,-33.325,30.640,25.024
1.823,-0.691,0.023,-57.617,-1.648,59.326
1.504,-0.432,0.037,-78.064,-32.166,73.669
1.229,-0.326,0.070,-86.304,-45.776,73.120
0.966,-0.288,0.062,-84.656,-38.635,74.158
0.731,-0.244,-0.009,-79.468,-17.639,83.313
0.535,-0.091,-0.100,-71.960,6.653,96.619
0.487,0.038,-0.216,-63.232,29.297,106.262
0.612,0.001,-0.399,-44.678,47.363,102.539
0.704,-0.065,-0.507,-22.400,53.589,79.651
0.552,-0.425,-0.436,-11.230,44.312,41.748
0.283,-0.794,-0.261,-10.010,26.611,19.714
-0.165,-0.938,-0.114,-17.151,11.475,33.081
-0.590,-0.666,0.041,-23.499,1.282,83.862
-0.785,0.126,0.312,-16.296,-6.226,147.217
-0.821,0.904,0.563,-1.343,-4.761,172.729
-0.719,1.056,0.720,29.541,10.681,139.038
-0.494,0.580,0.623,69.397,39.673,76.416
-0.260,-0.085,0.582,104.858,61.646,27.710
-0.064,-0.500,0.624,135.742,68.054,9.399
-0.106,-0.671,0.786,150.024,61.462,5.615
-0.213,-0.751,1.133,147.583,43.579,15.259
-0.232,-0.463,1.480,127.319,27.222,47.852
-0.256,0.068,1.731,85.938,20.569,86.243
-0.288,0.593,1.609,0.244,55.054,127.014
-0.315,1.514,0.817,-26.855,69.885,117.737
-0.265,1.637,0.592,-44.189,73.059,91.064
-0.178,1.700,0.316,-54.993,77.393,64.026
-0.212,1.691,-0.040,-56.824,92.407,40.161
-0.208,1.724,-0.453,-47.729,109.375,15.625
-0.098,1.342,-0.865,-25.391,114.868,-22.644
0.088,0.671,-0.933,2.014,101.074,-65.552
0.284,0.051,-0.750,23.865,77.759,-89.233
0.503,-0.378,-0.491,38.025,60.364,-93.323
0.662,-0.594,-0.413,40.100,52.307,-83.923
0.697,-0.557,-0.384,30.334,46.936,-67.810
0.732,-0.363,-0.272,15.930,36.316,-56.824
0.718,-0.139,-0.229,-4.333,26.672,-49.805
0.652,0.043,-0.389,-16.907,28.687,-47.363
0.620,0.120,-0.493,-18.250,31.189,-51.941
0.696,-0.288,-0.451,-12.329,23.743,-68.420
0.917,-0.530,-0.407,-7.080,23.987,-64.087
1.017,-0.667,-0.368,-4.333,22.888,-50.537
1.041,-0.613,-0.351,-8.240,21.240,-29.602
1.008,-0.457,-0.324,-11.963,18.188,-9.033
0.985,-0.327,-0.278,-15.015,13.306,1.709
0.954,-0.311,-0.303,-15.564,11.536,0.977
0.961,-0.268,-0.360,-15.747,8.728,-3.296
0.981,-0.278,-0.300,-14.038,1.160,-8.911
1.007,-0.267,-0.250,-8.179,-2.869,-12.146
1.034,-0.380,-0.134,11.414,-0.732,-13.550
1.054,-0.380,-0.147,15.015,2.502,-6.165
1.043,-0.383,-0.143,7.996,1.404,4.333
1.019,-0.262,-0.142,-4.517,-1.404,17.090
0.982,-0.047,-0.144,-14.343,-3.540,27.222
0.912,0.142,-0.115,-19.836,-4.822,27.344
0.934,0.112,-0.001,-19.287,-7.874,15.076
