aX,aY,aZ,gX,gY,gZ
-0.323,0.745,1.110,-44.739,-19.714,314.880
-0.282,0.996,1.042,-46.997,-12.207,288.879
-0.219,1.133,0.967,-35.217,-7.507,253.418
-0.166,1.300,0.945,-19.165,-5.981,210.022
-0.091,1.278,0.877,-3.540,-1.709,156.982
-0.083,1.225,0.877,12.329,-1.099,57.861
0.043,0.907,0.892,32.776,-11.047,15.320
0.070,0.720,0.892,30.334,-18.555,-14.587
0.067,0.567,0.863,23.315,-26.794,-34.363
0.006,0.357,1.020,31.860,-31.860,-49.988
0.141,0.034,1.032,55.969,-22.766,-61.462
0.179,-0.219,1.143,75.378,-15.076,-62.744
0.219,-0.362,1.149,78.430,-7.568,-54.932
0.239,-0.415,1.074,70.435,-0.244,-42.969
0.226,-0.427,1.026,60.242,0.793,-31.616
0.251,-0.410,1.025,49.683,-1.465,-22.583
0.226,-0.385,1.024,36.987,-2.625,-15.808
0.246,-0.350,1.010,23.865,-4.150,-10.803
0.220,-0.321,1.057,11.597,-6.104,-7.751
0.216,-0.338,1.073,1.221,-5.920,-5.493
0.206,-0.336,1.043,-8.240,-2.686,-2.136
0.201,-0.304,1.002,-15.198,1.343,2.991
0.193,-0.272,0.989,-16.785,3.479,8.240
0.191,-0.228,1.002,-14.465,3.662,12.695
0.186,-0.168,1.012,-12.817,4.089,16.235
0.199,-0.099,0.986,-13.123,4.089,18.311
0.175,-0.034,1.004,-15.198,-0.793,17.273
0.141,0.016,1.028,-16.846,-4.272,14.038
0.129,0.042,1.016,-16.846,-3.113,10.376
0.159,0.048,0.980,-14.526,-1.526,6.775
0.156,0.050,1.006,-11.536,-3.662,-1.892
0.176,-0.026,0.990,-9.705,-4.211,-4.333
0.184,-0.060,0.997,-6.897,-4.578,-4.761
0.187,-0.086,1.010,-3.418,-4.150,-3.845
0.192,-0.105,1.007,-1.160,-3.174,-2.502
0.196,-0.117,1.000,0.366,-2.319,-0.732
0.194,-0.111,0.996,1.587,-2.075,1.892
0.189,-0.088,0.995,2.380,-1.892,4.089
0.185,-0.067,1.000,2.930,-1.831,5.188
0.181,-0.051,1.006,3.235,-1.770,4.700
0.176,-0.046,1.009,2.930,-1.709,3.540
0.173,-0.045,1.017,2.136,-1.587,2.502
0.173,-0.050,1.020,0.732,-1.648,1.343
0.176,-0.062,1.019,-0.671,-1.404,0.366
0.175,-0.084,1.008,-1.709,-1.038,-0.122
0.174,-0.090,1.000,-2.197,-0.427,0.610
0.175,-0.094,1.003,-1.831,-0.366,1.587
0.174,-0.102,1.003,-1.282,-0.122,2.502
0.169,-0.115,0.998,-0.977,0.122,3.723
0.172,-0.119,1.010,-0.610,-0.244,5.432
0.015,-1.363,1.234,34.668,33.508,-274.109
0.206,-1.609,0.945,15.808,53.406,-235.535
0.316,-1.770,0.717,-1.587,50.415,-184.448
0.383,-1.917,0.632,-4.211,27.893,-128.418
0.395,-1.972,0.675,5.066,0.061,-67.688
0.410,-1.926,0.813,20.386,-18.005,-4.395
0.411,-1.755,1.033,26.733,-21.240,59.570
0.180,-1.439,1.100,1.160,-11.353,119.263
0.257,-1.094,0.793,-36.499,10.864,169.373
0.059,-0.873,0.984,-60.852,5.249,197.388
0.011,-0.826,1.147,-65.857,-19.714,213.318
-0.011,-0.829,1.177,-71.594,-9.705,227.600
-0.032,-0.683,1.019,-87.524,4.639,242.126
-0.110,-0.559,1.085,-95.642,8.545,254.150
-0.122,-0.438,1.047,-99.121,17.090,265.564
-0.183,-0.166,0.933,-108.459,27.832,274.902
-0.272,0.165,0.672,-112.061,34.424,278.564
-0.315,0.613,0.651,-100.586,28.076,275.879
-0.254,1.053,0.849,-69.763,15.320,256.653
-0.220,1.235,0.921,-43.518,11.658,211.060
-0.298,1.185,1.006,-24.658,9.155,154.480
-0.228,1.273,0.992,-14.648,8.118,114.868
-0.259,1.444,0.933,-10.010,10.437,71.899
-0.070,1.473,0.803,1.831,11.108,23.193
-0.126,1.496,0.755,15.137,-0.244,-26.062
-0.382,1.627,0.678,26.855,-18.433,-75.989
-0.491,1.592,0.728,56.885,-28.625,-133.484
-0.406,1.263,0.775,96.558,-25.085,-197.754
-0.354,0.838,0.874,118.774,-25.085,-251.221
-0.311,0.395,0.961,113.831,-23.865,-314.697
-0.307,-0.243,1.157,63.232,-15.930,-321.045
-0.254,-0.467,1.205,36.194,-5.188,-313.599
-0.176,-0.809,1.184,31.677,9.216,-302.856
-0.046,-1.176,1.188,33.630,24.658,-283.020
0.198,-1.484,0.864,25.757,51.880,-242.615
0.307,-1.714,0.719,20.386,46.936,-194.336
0.417,-1.909,0.758,34.119,19.104,-145.874
0.490,-2.024,0.885,55.115,-8.606,-93.689
0.497,-1.965,0.974,58.105,-24.170,-31.982
0.404,-1.730,1.019,46.082,-20.752,28.442
0.296,-1.418,1.024,27.710,-4.517,79.529
0.163,-1.136,1.089,2.502,1.160,118.408
0.112,-1.004,1.120,-20.630,-1.648,141.357
0.021,-0.822,1.254,-44.312,-9.033,159.790
-0.015,-0.641,1.189,-65.369,-0.549,180.725
-0.024,-0.484,1.052,-82.336,11.902,194.946
-0.039,-0.316,0.901,-94.421,15.869,202.637
-0.073,-0.160,0.823,-97.595,15.320,206.238
-0.023,-0.007,0.693,-93.384,15.930,208.191
-0.058,0.229,0.731,-86.304,6.958,206.299
-0.067,0.454,0.855,-76.904,-3.662,195.740
-0.081,0.629,0.939,-67.810,-8.362,177.002
-0.102,0.767,0.992,-61.035,-10.803,152.893
-0.080,0.848,0.987,-54.016,-8.667,125.183
-0.047,0.916,0.975,-47.119,-5.676,95.337
-0.061,0.848,0.967,-39.795,-4.822,62.134
-0.031,0.741,0.888,-25.024,-1.160,33.020
0.041,0.609,0.827,10.620,-7.507,-7.324
0.088,0.113,0.921,33.936,-18.860,-19.775
0.078,-0.111,1.105,55.664,-28.137,-21.484
0.129,-0.209,1.204,61.768,-18.555,-16.907
0.159,-0.239,1.097,49.805,-0.122,-8.057
0.203,-0.216,1.013,42.297,5.066,-1.221
0.168,-0.198,1.014,37.781,2.319,1.831
0.193,-0.177,1.010,30.212,-0.305,3.540
0.177,-0.158,1.019,20.691,-0.793,3.540
0.177,-0.163,1.013,11.230,-2.563,1.770
0.167,-0.146,0.990,2.441,-3.052,-0.244
0.167,-0.141,0.992,-2.747,-3.906,-1.770
0.154,-0.137,1.022,-4.517,-4.272,-2.441
0.140,-0.130,1.069,-6.287,-3.845,-2.441
0.137,-0.114,1.080,-8.118,-2.136,-1.770
0.137,-0.093,1.013,-10.254,0.244,-0.427
0.106,-0.041,0.979,-9.644,-1.282,1.038
0.111,-0.018,1.000,-6.897,-2.136,1.221
0.104,-0.002,1.013,-4.272,-2.319,0.916
0.112,0.001,0.988,-2.747,-1.770,-0.061
0.120,-0.010,0.987,-0.793,-2.563,-1.526
0.125,-0.047,1.019,2.625,-4.028,-2.747
0.134,-0.075,1.030,3.418,-4.211,-3.174
0.139,-0.080,1.032,2.136,-3.479,-2.869
0.143,-0.080,1.021,0.671,-2.747,-2.625
0.146,-0.099,1.005,0.183,-2.075,-2.869
0.149,-0.120,1.023,0.549,-1.831,-2.563
0.147,-0.119,1.039,0.244,-1.160,-1.526
0.143,-0.103,1.024,-1.587,0.793,-0.122
0.138,-0.080,1.021,-3.296,1.709,0.916
0.136,-0.058,0.997,-4.089,2.136,0.854
0.132,-0.040,0.946,-3.723,2.197,0.549
0.125,-0.036,0.992,-0.854,-0.977,-0.366
0.130,-0.055,1.039,0.916,-3.296,-1.099
0.132,-0.054,1.034,-0.977,-2.441,-1.221
0.130,-0.048,1.004,-2.502,-0.854,-1.587
0.130,-0.054,0.999,-1.587,-1.099,-2.014
0.131,-0.060,1.005,0.122,-1.892,-2.136
0.130,-0.077,1.020,1.099,-2.197,-2.319
0.130,-0.073,1.030,1.221,-2.014,-1.404
0.131,-0.065,1.019,0.793,-0.732,-0.977
0.126,-0.073,1.009,0.427,-0.122,-1.160
0.131,-0.078,1.004,0.610,-0.488,-1.160
0.138,-0.088,1.001,0.977,-0.610,-0.916
0.132,-0.083,1.026,0.977,-0.732,0.122
0.132,-0.081,1.033,0.000,-0.305,0.732
0.133,-0.078,1.020,-1.587,0.488,0.854
0.133,-0.068,1.014,-2.258,0.977,0.916
0.132,-0.060,1.001,-2.625,0.916,0.671
0.131,-0.056,0.993,-2.502,0.671,0.122
