aX,aY,aZ,gX,gY,gZ
-1.538,-0.043,0.970,56.030,22.461,-67.627
-1.698,-0.115,0.914,36.255,23.132,-90.698
-1.754,-0.117,0.907,-7.446,23.376,-98.633
-1.673,-0.141,0.911,-9.705,19.958,-104.187
-1.467,-0.184,0.903,12.024,18.372,-108.704
-1.227,-0.208,0.914,5.371,24.170,-108.704
-0.982,-0.202,0.949,-21.179,34.607,-105.652
-0.775,-0.196,0.967,-23.315,49.011,-98.389
-0.596,-0.216,0.940,2.441,66.833,-91.187
-0.445,-0.239,0.903,17.639,84.961,-83.618
-0.395,-0.243,0.859,11.108,105.896,-75.256
-0.428,-0.260,0.801,8.606,126.892,-69.031
-0.503,-0.282,0.729,16.785,144.043,-60.730
-0.604,-0.294,0.654,27.710,155.457,-45.532
-0.690,-0.306,0.580,36.438,158.691,-30.334
-0.734,-0.312,0.516,36.926,153.992,-16.052
-0.707,-0.306,0.479,29.236,141.541,-2.563
-0.601,-0.293,0.459,21.484,124.390,10.681
-0.503,-0.283,0.450,19.775,108.643,22.705
-0.476,-0.275,0.429,22.705,98.083,34.607
-0.488,-0.262,0.406,26.245,88.196,47.791
-0.508,-0.248,0.390,27.771,74.036,60.547
-0.527,-0.231,0.385,27.039,55.603,72.021
-0.566,-0.204,0.391,26.917,37.415,85.205
-0.639,-0.173,0.399,31.616,20.264,99.060
-0.697,-0.143,0.419,38.208,0.732,110.229
-0.712,-0.110,0.451,36.072,-20.752,118.469
-0.714,-0.073,0.500,22.644,-41.565,123.047
-0.711,-0.033,0.559,7.568,-59.387,125.244
-0.697,0.001,0.618,0.977,-73.669,126.038
-0.704,0.035,0.673,2.808,-84.167,126.892
-0.725,0.068,0.721,7.568,-90.637,128.113
-0.758,0.096,0.762,10.132,-95.215,125.793
-0.787,0.121,0.805,7.019,-98.450,120.117
-0.808,0.149,0.851,-0.671,-100.708,111.877
-0.824,0.172,0.893,-6.470,-101.135,100.769
-0.834,0.188,0.931,-9.094,-99.060,87.463
-0.833,0.200,0.966,-11.536,-94.849,73.608
-0.815,0.211,0.999,-15.198,-88.989,58.960
-0.792,0.218,1.028,-18.188,-80.933,43.762
-1.276,0.570,0.826,43.152,23.804,142.822
-1.308,0.594,0.838,47.729,27.527,143.738
